latin	common	IUCN	popstab	sound	picfile	qual	piccredit
Athene_noctua	Little owl	VU	Territorial call	1	Athene_noctua	2	REFERENCE: Linhart, P., and Salek, M. (2017). The assessment of biases in the acoustic discrimination of individuals. PLOS ONE 12, e0177206. SOUND: Martin Salek / Pavel Linhart / license: CC-BY-4.0. PICTURE: Arturo Nikolai/Public Domain/Source:https://commons.wikimedia.org/wiki/File:Mochuelo_Com%C3%BAn_(_Athene_noctua_)(1).jpg
Crex_crex	Corncrake	CR	Territorial call	1	Crex_crex	2	REFERENCE: Budka, M., and Osiejuk, T.S. (2013). Formant frequencies are acoustic cues to caller discrimination and are a weak indicator of the body size of corncrake males. Ethology 119, 960-969. SOUND: Budka M. / Mahamoud-Issa M. / Linhart, P / license: CC-BY-4.0. PICTURE: Nicolas Huet le Jeunecreator:Jean-Gabriel Pretre/Public Domain/Source: Wikimedia Commons via http://eol.org/data_objects/21508021 
Parus_atricapillus	Black-capped chickadee	VU	Song	1	Parus_atricapillus	2	REFERENCE: Wilson, D.R., and Mennill, D.J. (2010). Black-capped chickadees, Poecile atricapillus, can use individually distinctive songs to discriminate among conspecifics. Animal Behaviour 79, 1267-1275. SOUND: David R. Wilson / Daniel J. Mennill / license: CC-BY-4.0. PICTURE:Mdf/Public Domain/Source: https://commons.wikimedia.org/wiki/File:Poecile-atricapilla-001.jpg
Taeniopygia_guttata	Zebra finch	EN	Begging calls	1	Taeniopygia_guttata	2	REFERENCE: Levrero, F., Durand, L., Vignal, C., Blanc, A., and Mathevon, N. (2009). Begging calls support offspring individual identity and recognition by zebra finch parents. Comptes Rendus Biologies 332, 579-589. SOUND: Florence Levrero / license: CC-BY-4.0. PICTURE: Keith Gerstung/Public Domain/Source: https://commons.wikimedia.org/wiki/File:Taeniopygia_guttata_-Bird_Kingdom
Manorina_melanophrys	Bell miner	VU	Provisioning calls	1	Manorina_melanophrys	2	REFERENCE: McDonald, P.G., Heathcote, C.F., Clarke, M.F., Wright, J., and Kazem, A.J.N. (2007). Provisioning calls of the cooperatively breeding bell miner Manorina melanophrys encode sufficient information for individual discrimination. Journal of Avian Biology 38, 113-121. SOUND: Paul McDonald / license: CC-BY-4.0. PICTURE: Benjamint444/Public Domain/Source: https://commons.wikimedia.org/wiki/File:Bell_Miner2.jpg
Sayornis_phoebe	Eastern phoebe	EN	Territorial song	1	Sayornis_phoebe	2	REFERENCE: Foote, J.R., Palazzi, E., and Mennill, D.J. (2013). Songs of the Eastern Phoebe, a suboscine songbird, are individually distinctive but do not vary geographically. Bioacoustics-the International Journal of Animal Sound and Its Recording 22, 137-151. SOUND: Jennifer Foote / license: CC-BY-4.0. PICTURE: John Benson/Public Domain/Source: https://commons.wikimedia.org/wiki/File:Sayornis_phoebe_-Owen_Conservation_Park
Chinchilla_lanigera	Chinchilla lanigera	VU	Bark call (distress)	1	Chinchilla_lanigera	2	REFERENCE: Moreno-Gomez, F.N., Leon, A., Velasquez, N.A., Penna, M., and Delano, P.H. (2015). Individual and sex distinctiveness in bark calls of domestic chinchillas elicited in a distress context. Journal of the Acoustical Society of America 138, 1614-1622. SOUND: Felipe Moreno / license:CC-BY-4.0. PICTURE: Niko smile/ Public Domain/ Source: https://commons.wikimedia.org/wiki/File:Animal_chinchilla.JPG
Capra_hircus	Domestic goat	NT	Isolation call	1	Capra_hircus	2	REFERENCE: Briefer, E., and McElligott, A. (2011). Mutual mother–offspring vocal recognition in an ungulate hider species (Capra hircus). Anim Cogn 14, 585-598. SOUND: Elodie F. Mandel-Briefer and Alan G. McElligott / license: CC-BY-4.0. PICTURE: Armin Kubelbeck/ Public Domain/ Source: https://commons.wikimedia.org/wiki/File:Hausziege_04.jpg
Otomops_martiensseni	Large-eared free-tailed bat	NT	Echolocation call	1	Otomops_martiensseni	2	REFERENCE: Fenton, M.B., Jacobs, D.S., Richardson, E.J., Taylor, P.J., and White, E. (2004). Individual signatures in the frequency-modulated sweep calls of African large-eared, free-tailed bats Otomops martiensseni (Chiroptera?: Molossidae). Journal of Zoology 262, 11-19. SOUND: Fenton, M.B. / license: CC-BY-4.0. PICTURE: Jakob Fahr/ Public Domain/ Source: http://eol.org/data_objects/33246004
Pan_troglodytes	Eastern chimpanzee	NT	Infant whimper call	1	Pan_troglodytes	2	REFERENCE: Levrero, F., and Mathevon, N. (2013). Vocal Signature in Wild Infant Chimpanzees. American Journal of Primatology 75, 324-332. SOUND: Florence Levrero / license: CC-BY-4.0. PICTURE: Bernard DUPONT/ Public Domain/ Source: https://www.inaturalist.org/taxa/147740-Pan-troglodytes-schweinfurthii
Phylloscopus_collybita	Common chiffchaff	NT	Territorial song	1	Phylloscopus_collybita	2	REFERENCE: Pruchova, A., Jaska, P., and Linhart, P. (2017). Cues to individual identity in songs of songbirds: testing general song characteristics in Chiffchaffs Phylloscopus collybita. Journal of Ornithology 158, 911-924. SOUND: Pavel Linhart and Pavel Jaska / license: CC-BY-4.0. PICTURE: Andreas Trepte/Public Domain/Source: https://commons.wikimedia.org/wiki/File:Chiffchaff_-_Phylloscopus_collybita.jpg
Sus_scrofa	Domestic pig	LC	Isolation call	1	Sus_scrofa	2	REFERENCE: Syrova, M., Policht, R., Linhart, P., and Spinka, M. (2017). Ontogeny of individual and litter identity signaling in grunts of piglets. The Journal of the Acoustical Society of America 142, 3116-3121. SOUND: Pavel Linhart / license: CC-BY-4.0. PICTURE: Scott Bauer/Public Domain/ Source: https://commons.wikimedia.org/wiki/File:Sow_with_piglet.jpg
Penelopides_panini	Visayan hornbill	NT	Territorial calls	1	Penelopides_panini	2	REFERENCE: Policht, R. Petru, M. Lastimoza, L. Suarez L. (2009). Potential for the use of vocal individuality as a conservation research tool in two threatened Philippine hornbill species  the Visayan Hornbill and the Rufous-headed Hornbill. Bird Conservation International 19 , 83-97. SOUND: Richard Policht / license: CC-BY-4.0. PICTURE: Callan Bentley/Public Domain/Source: https://commons.wikimedia.org/wiki/File:Philippine_tarictic_hornbill_callanbentley011.jpg
Aceros_waldeni	Walden's hornbill	VU	Territorial calls	1	Aceros_waldeni	2	REFERENCE: Policht, R. Petru, M. Lastimoza, L. Suarez, L. (2009). Potential for the use of vocal individuality as a conservation research tool in two threatened Philippine hornbill species  the Visayan Hornbill and the Rufous-headed Hornbill. Bird Conservation International 19, 83-97. SOUND: Richard Policht / license: CC-BY-4.0. PICTURE: Callan Bentley/Public Domain/Source: https://commons.wikimedia.org/wiki/File:Philippine_tarictic_hornbill_callanbentley011.jpg
Dendrocopos_major	Great spotted woodpeckers	EN	Drumming (territory defense)	1	Dendrocopos_major	2	REFERENCE: Budka, M., Deoniziak, K., Tumiel, T., and WoŸna, J.T. (2018). Vocal individuality in drumming in great spotted woodpecker—A biological perspective and implications for conservation. PLOS ONE 13, e0191716. SOUND: Michal Budka / license: CC-BY-4.0. PICTURE: AbdAllah Elgolli/Public Domain/Source: https://commons.wikimedia.org/wiki/File:Pic_%C3%A9peiche_cap_n%C3%A9gro.jpg
Aegolius_acadicus	Northern saw-whet owl	NT	Territorial call	1	Aegolius_acadicus	2	REFERENCE: Holschuh, C.I., and Otter, K.A. (2005). Using vocal individuality to monitor Queen Charlotte Saw-whet owls (Aegolius acadicus brooksi). Journal of Raptor Research 39, 134-141. SOUND: Xeno-Canto: Frank Lambert, XC345875 (license: CC-BY-4.0) / Lance A. M. Benner, XC374384 (license: CC-BY-4.0) / Jun & Bin, XC408134 (license: CC-BY-4.0). PICTURE: Brendan Lallyl/Public Domain/Source: https://commons.wikimedia.org/wiki/File:Northern_Saw-whet_Owl_Reifel_BC_1.jpg
Botaurus_stellaris	Eurasian bittern	VU	Boom call	1	Botaurus_stellaris	2	REFERENCE: Puglisi, L., and Adamo, C. (2004). Discrimination of individual voices in male Great Bitterns (Botaurus stellaris) in Italy. Ornis Scand 121, 541-547. SOUND: Xeno-Canto: Niels Krabbe, XC25558  (license: CC-BY-3.0) / Ilkka Heiskanen, XC214099 (license: CC-BY-4.0) / Yannick Jacob, XC414856 (license: CC-BY-4.0). PICTURE: Roger Hatcliffe/Public Domain/Source: https://commons.wikimedia.org/wiki/File: https://commons.wikimedia.org/wiki/File:Bittern_-_Botaurus_stellaris.jpg
Bubo_bubo	Eurasian eagle-owl	EN	Territorial call	1	Bubo_bubo	2	REFERENCE: Lengagne, T. (2001). Temporal Stability in the individual features in the calls of eagle owls (Bubo bubo). Behaviour 138, 1407-1419. SOUND: Xeno-Canto: Lars Edenius, XC410857 (license: CC-BY-4.0) / Lars Edenius, XC410856 / Romuald Mikusek, XC406741 (license: CC-BY-4.0). PICTURE: Kamil/Public Domain/Source: https://commons.wikimedia.org/wiki/File:Bubo_bubo_winter_1.jpg
Certhia_brachydactyla	Short-toed treecreeper	CR	Territorial P-songs	1	Certhia_brachydactyla	2	REFERENCE: Bauer, H., and Nagl, W. (1992). Individual Distinctiveness and Possible Function of Song Parts of Short-Toed Treecreepers (certhia-Brachydactyla) - Evidence from Multivariate Song Analysis. Ethology 91, 108-121. SOUND: Xeno-Canto: Fernand DEROUSSEN  (license: CC-BY-3.0), XC143987 / Peter Boesman, XC281693 (license: CC-BY-4.0) / Aurélien AUDEVARD, XC409141 (license: CC-BY-4.0). PICTURE: Jimfbleak/Public Domain/Source: https://commons.wikimedia.org/wiki/File:Short-toed_Treecreeper_(Certhia_brachydactyla)cropped.jpg
Cuculus_canorus	Common cuckoo	EN	Advertisement call	1	Cuculus_canorus	2	REFERENCE: Zsebok, S., Moskat, C., and Ban, M. (2017). Individually distinctive vocalization in Common Cuckoos (Cuculus canorus). Journal of Ornithology 158, 213-222. SOUND: Zsebok Sandor (license: CC-BY-4.0). PICTURE: Dibyendu Ash/Public Domain/Source: https://commons.wikimedia.org/wiki/File:Eurasian_Cuckoo_Rongli_East_Sikkim_India_10.04.2016.jpg
Dama_dama	Fallow deer	VU	Mother-calf contact call	1	Dama_dama	2	REFERENCE: Torriani, M.V.G., Vannoni, E., and McElligott, A.G. (2006). Mother-young recognition in an ungulate hider species: A unidirectional process. American Naturalist 168, 412-420. SOUND: Torriani, M.V.G., Vannoni, E., and McElligott, A.G. / license: CC-BY-4.0. PICTURE: Johann-Nikolaus Andreae/Public Domain/Source: https://commons.wikimedia.org/wiki/File:Fallow_deer_in_field.jpg
Eulemur_rubriventer	Red-bellied lemur	NT	Grunt (contact, play, foraging)	1	Eulemur_rubriventer	2	REFERENCE: Gamba, M., Colombo, C., and Giacoma, C. (2012). Acoustic cues to caller identity in lemurs: a case study. Journal of Ethology 30, 191-196. SOUND: Marco Gamba / license: CC-BY-4.0. PICTURE: Rachel Kramer/Public Domain/Source: https://commons.wikimedia.org/wiki/File:Eulemur_rubriventer_001.jpg
Aratinga_aurea	Peach-fronted parakeet	EN	Contact calls	1	Aratinga_aurea	2	REFERENCE: Thomsen, H.M., Balsby, T.J.S., and Dabelsteen, T. (2013). Individual variation in the contact calls of the monomorphic Peach-fronted Conure, Aratinga aurea, and its potential role in communication. Bioacoustics-the International Journal of Animal Sound and Its Recording 22, 215-227. SOUND: Xeno-Canto: Bernhard Kroeger, XC67365 (license: CC-BY-2.5) / Manuel Grosselet, XC317610 (license: CC-BY-4.0) / Richard E. Webster, XC334719 (license: CC-BY-4.0). PICTURE:  Snowmanradio/Public Domain/Source: https://commons.wikimedia.org/wiki/File:Aratinga_aurea_-Brazil-8-4c.jpg
Forpus_conspicillatus	Spectacled parrotlet	LC	Contact calls	1	Forpus_conspicillatus	2	REFERENCE: Wanker, R., and Fischer, J. (2001). Intra- and interindividual variation in the contact calls of spectacled parrotlets (Forpus conspicillatus). Behaviour 138, 709-726. SOUND: Xeno-Canto: Andrew Spencer, XC62456 (license: CC-BY-2.5) / Peter Boesman, XC273726 (license: CC-BY-4.0) / Fabrice Schmitt, XC428673 (license: CC-BY-4.0). PICTURE: Rogier Klappe/Public Domain/Source: https://commons.wikimedia.org/wiki/File:Forpus_conspicillatus_-Colombia_-pair-8-3c.jpg
Marmota_flaviventris	 Yellow-bellied marmot 	VU	Alarm whistles	1	Marmota_flaviventris	2	REFERENCE: Blumstein, D.T., and Munos, O. (2005). Individual, age and sex-specific information is contained in yellow-bellied marmot alarm calls. Animal Behaviour 69, 353-361. SOUND: Blumstein D. / license: CC-BY-4.0. PICTURE: Diliff/Public Domain/Source:https://commons.wikimedia.org/wiki/File:Marmota_flaviventris_(Yellow_Bellied_Marmot)_Yosemite_NP_-_Diliff.jpg
Megascops_kennicottii	Western screech owl	EN	Territorial calls	1	Megascops_kennicottii	2	REFERENCE: Tripp, T.M., and Otter, K.A. (2006). Vocal individuality as a potential long-term monitoring tool for Western Screech-owls, Megascops kennicottii. Canadian Journal of Zoology-Revue Canadienne De Zoologie 84, 744-753. SOUND: Xeno-Canto: Richard E. Webster, XC348776 (license: CC-BY-4.0) / Dan Lane, XC196480 (license: CC-BY-4.0) / Eric DeFonso, XC172762 (license: CC-BY-4.0). PICTURE: Shravans14/Public Domain/Source: https://commons.wikimedia.org/wiki/File:Western_Screech_Owl_In_Hole.jpg
Ninox_natalis	Christmas boobook	VU	Territorial calls	1	Ninox_natalis	2	REFERENCE: Hill, F. a. R., and Lill, A. (1998). Vocalisations of the Christmas Island Hawk-Owl Ninox natalis: Individual variation in advertisement calls. Emu 98, 221-226. SOUND: Xeno-Canto: Frank Lambert, XC68847, XC68846, XC68845 (license: CC-BY-4.0). PICTURE: John Gerrard Keulemans/Public Domain/Source: https://commons.wikimedia.org/wiki/File:Christmas_Island_Hawk_Owl.jpg
